"","x"
"1","SLC7A14"
"2","STMN4"
"3","MYOC"
"4","CDH10"
"5","CHAT"
"6","SLC13A1"
"7","SLC32A1"
"8","LGI1"
"9","PPY"
"10","PHOX2B"
"11","DAO"
"12","SLC27A6"
"13","SLC10A2"
"14","PCSK2"
"15","G6PC1"
"16","MMP27"
"17","PIK3C2G"
"18","ARHGAP36"
"19","PMP2"
"20","MCHR2"
"21","SPHKAP"
"22","CHST9"
"23","ADGRG4"
"24","HS3ST6"
"25","NEUROD1"
"26","GABRG1"
"27","ASB5"
"28","ASB11"
"29","PHOX2A"
"30","NGB"
"31","CMTM5"
"32","KRT24"
"33","KRT27"
"34","SERF1A"
"35","MS4A10"
"36","ARPP21"
"37","TMEM196"
"38","ST8SIA3"
"39","SPATA31E1"
"40","TMEM151B"
"41","SLC17A8"
"42","TBPL2"
"43","OTOP3"
"44","OTOP2"
"45","DHRS7C"
"46","C14orf180"
"47","RALYL"
"48","NPY2R"
"49","MAGEE2"
"50","MPPED1"
"51","SLC18A3"
"52","P2RX2"
"53","OR8D1"
"54","POU3F4"
"55","AADACL2"
"56","AVPR1B"
"57","HSD3BP2"
"58","GLYATL3"
"59","TCEAL6"
"60","MAS1L"
"61","CD177P1"
"62","PLAC9P1"
"63","NPAP1P9"
"64","LINC00955"
"65",""
"66","VSTM2A-OT1"
"67","LINC02840"
"68","PGM5-AS1"
"69","LINC00974"
"70","NUS1P2"
"71",""
"72","LINC01797"
"73","LINC03051"
"74","UGT1A9"
"75","LINC02000"
"76","LINC00682"
"77","FOXL3"
"78","LINC02147"
"79","NPY2R-AS1"
"80","RMEL3"
"81",""
"82","LINC03018"
"83",""
"84","MT1JP"
"85","LINC00507"
"86",""
"87",""
"88","LINC02490"
"89",""
"90",""
"91","LINC02616"
"92",""
"93","SMIM28"
"94","ARHGAP44-AS1"
"95",""
"96",""
"97",""
"98",""
"99","PAUPAR"
"100",""
"101","NCOA5LP"
"102","LINC00842"
"103",""
"104",""
"105",""
"106",""
