"","mRNA","logFC","FDR","Delta","Primary Tumor","Solid Tissue Normal","start","end"
"ENSG00000183034","ENSG00000183034",2.96719638020217,7.50572487265746e-37,3.90528706659134,1.31615389282905,11.9053681367305,74922950,74933912
"ENSG00000110887","ENSG00000110887",2.27592142137134,3.84252344653208e-17,3.00017969931442,1.31822639883001,7.33460099347141,108858932,108901043
"ENSG00000125851","ENSG00000125851",2.48647087660585,1.91574586600036e-19,2.89262186707349,1.16334435858025,7.5777728034982,17226107,17484578
"ENSG00000034971","ENSG00000034971",2.73422479480018,1.33734156700074e-21,2.63531256436874,0.96382439709436,7.5998354329728,171635417,171652688
"ENSG00000204933","ENSG00000204933",2.60066787750491,1.86108374659967e-19,2.6198094334903,1.00736024624711,7.19926743761691,43372742,43379123
"ENSG00000108231","ENSG00000108231",2.24621628597844,7.31392020814512e-15,2.60830865611992,1.16120102609965,6.38458715734913,93757840,93806272
"ENSG00000167916","ENSG00000167916",2.47285691881749,1.22102793870855e-17,2.58723777492064,1.04625453872109,6.80920135210345,40697991,40703752
"ENSG00000257277","ENSG00000257277",2.00662804271662,6.31749242858421e-12,2.55964631240934,1.2755958044641,5.88021794697309,143674315,143741294
"ENSG00000013293","ENSG00000013293",2.04120340216624,3.30814250781888e-12,2.54033854230803,1.24452983941339,5.88903398580253,170459548,170586075
"ENSG00000226629","ENSG00000226629",2.27373542744074,9.80528401282269e-15,2.51230593935969,1.10492448199546,6.2185619305528,41549606,41554495
"ENSG00000109132","ENSG00000109132",2.2583937941668,3.00658056483631e-14,2.44991897481988,1.08480592762333,6.04832017983742,41744082,41748725
"ENSG00000162992","ENSG00000162992",2.28929482115324,2.28709125265534e-14,2.40016528924718,1.04842996501346,5.99162322793575,181673088,181680547
"ENSG00000178233","ENSG00000178233",2.0484938331589,1.05774287985316e-11,2.39362380236292,1.16847986731393,5.58257844636522,44270450,44307506
"ENSG00000015592","ENSG00000015592",2.11365566024435,2.85125108178181e-12,2.37744766094819,1.12480367813239,5.64402840314858,27235323,27258420
"ENSG00000147588","ENSG00000147588",2.14306329727943,2.97776563178594e-12,2.30322171589471,1.07473340559684,5.52604916112441,81440326,81447439
"ENSG00000265489","ENSG00000265489",2.14392530119905,5.55163038621336e-12,2.2387050785236,1.04420852595542,5.38493786221427,12760140,12790242
"ENSG00000182938","ENSG00000182938",2.78452461746714,2.11730175109014e-19,2.18711652969505,0.785454190627517,6.55778082879829,74935898,74949992
"ENSG00000113396","ENSG00000113396",2.05175302027681,1.03991169711106e-10,2.14311725278568,1.04452983941339,5.04508469051371,128538013,129033642
"ENSG00000224958","ENSG00000224958",2.42122384032258,1.63426175120571e-14,2.13632705124022,0.882333560269089,5.62490120151931,68353614,68357893
"ENSG00000165462","ENSG00000165462",2.07347019065139,9.51480052491095e-11,2.10811823414746,1.01671017198717,4.99815514814542,72239077,72245664
"ENSG00000185149","ENSG00000185149",2.52414824598359,3.44865074787199e-15,2.05045908923184,0.812337029924657,5.61916922189399,155208636,155217078
"ENSG00000179520","ENSG00000179520",2.89521677406846,2.11730175109014e-19,1.97769045561353,0.683088904888599,6.27540240709464,100357074,100422055
